vendor_sku,upc,category,name,price,weight,Volume ,VolumeUnit ,Height ,Length ,Width ,ingredients ,NutritionFacts ,Serving ,Kosher ,Halal ,Organic ,Vegeratian ,FatFree ,SugarFree ,NoMSG ,LowCarb ,HeatSensitive ,AllNatural ,NoPreservatives ,FairTrade
91000,689951910004,Chai ,500 Mile Chai - Can ,$5.50,0.5,,,,,,"100% Organic Black Tea Leaves, 100% Organic Cinnamon, 100% Organic Dried Ginger, 100% Organic Cloves and 100% Organic Cardamom. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
91020,689951910202,Chai ,Mate Chai - Can ,$5.50,0.4688,,,,,,"100% Organic Yerba Maté, 100% Organic Cardamom, 100% Organic Cloves, 100% Organic Cinnamon. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
91010,689951910103,Chai ,Red Bush Chai - Can ,$5.50,0.5,,,,,,"100% Organic Rooibos Leaves, 100% Organic Cinnamon, 100% Organic Spearmint, 100% Organic Cloves and 100% Organic Cardamom. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80915,689951809155,Chai ,Sada Chai - lb. ,$12.00,1,,,,,,100% Organic Black Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
21000,689951210005,White Teas ,Imperial White - Can ,$6.00,0.375,,,,,,White Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
21045,689951210456,White Teas ,Jing Mai White - Can ,$7.00,0.375,,,,,,100% Organic White Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
21010,689951210104,White Teas ,Silver Needle - Can ,$6.75,0.375,,,,,,100% Organic White Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
21015,689951210159,White Teas ,White Earl Grey - Can ,$6.75,0.375,,,,,,"100% Organic White Tea, Organic Bergamot Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
21030,689951210302,White Teas ,White Peony - Can ,$5.00,0.375,,,,,,100% Organic White Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31055,689951310552,Famous Chinese Green Teas ,Emerald Green - Can ,$5.25,0.4375,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31320,689951313201,Famous Chinese Green Teas ,Fujing - Can ,$11.50,0.4375,,,,,,100% Organic Green Tea Leaves ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
